NO,XCOORD,YCOORD,lrt,crt,fry,lbus,ebus,opensqft,park_count
1,-86.7562027,36.1024017,0,0,0,1,0,0,0
2,-86.7554016,36.1097984,0,0,0,1,0,0,0
3,-86.7813034,36.1660995,0,0,0,1,0,0,0
4,-86.7578964,36.2062988,0,0,0,1,0,0,0
5,-86.7575989,36.205101,0,0,0,1,0,0,0
6,-86.7813034,36.1673012,0,0,0,1,0,0,0
7,-86.7822037,36.1682014,0,0,0,1,0,0,0
8,-86.3907013,35.8480988,0,0,0,0,1,0,0
9,-86.3911972,35.8476982,0,0,0,0,1,0,0
10,-86.3914032,35.846199,0,0,0,0,1,0,0
11,-86.3920975,35.8456001,0,0,0,0,1,0,0
12,-86.7818985,36.1659012,0,0,0,0,1,0,0
13,-86.7822037,36.1682014,0,0,0,0,1,0,0
14,-86.7093964,36.1119995,0,0,0,0,1,0,0
15,-86.3714981,35.8480988,0,0,0,0,1,0,0
16,-86.3528976,35.8618011,0,0,0,0,1,0,0
17,-86.3930969,35.8460999,0,0,0,0,1,0,0
18,-86.3914032,35.8460999,0,0,0,0,1,0,0
19,-86.3911972,35.847599,0,0,0,0,1,0,0
20,-86.3907013,35.8480988,0,0,0,0,1,0,0
21,-86.3858032,35.847599,0,0,0,0,1,0,0
22,-86.3723984,35.8462982,0,0,0,0,1,0,0
23,-86.7777023,36.1641006,0,0,0,0,1,0,0
24,-86.776001,36.1617012,0,0,0,0,1,0,0
25,-86.7753983,36.1617012,0,0,0,0,1,0,0
26,-86.7738037,36.1598015,0,0,0,0,1,0,0
27,-86.7807007,36.1664009,0,0,0,0,1,0,0
28,-86.783699,36.1599998,0,0,0,0,1,0,0
29,-86.3907013,35.8480988,0,0,0,0,1,0,0
30,-86.3911972,35.8476982,0,0,0,0,1,0,0
31,-86.3914032,35.846199,0,0,0,0,1,0,0
32,-86.5017014,36.0065002,0,0,0,0,1,0,0
33,-86.7813034,36.1660995,0,0,0,0,1,0,0
34,-86.7818985,36.1657982,0,0,0,0,1,0,0
35,-86.714798,36.1105995,0,0,0,0,1,0,0
36,-86.7123032,36.1111984,0,0,0,0,1,0,0
37,-86.7024002,36.1170998,0,0,0,0,1,0,0
38,-86.4012985,35.8525009,0,0,0,0,1,0,0
39,-86.7807007,36.1663017,0,0,0,0,1,0,0
40,-86.7813034,36.1660995,0,0,0,0,1,0,0
41,-86.7818985,36.1657982,0,0,0,0,1,0,0
42,-86.3920975,35.8456001,0,0,0,0,1,0,0
43,-86.4035034,35.8558006,0,0,0,0,1,0,0
44,-86.9156036,35.7762985,0,0,0,0,1,0,0
45,-86.7813034,36.1660995,0,0,0,0,1,0,0
46,-86.8932037,35.7440987,0,0,0,0,1,0,0
47,-86.8932037,35.7440987,0,0,0,0,1,0,0
48,-86.7813034,36.1660995,0,0,0,0,1,0,0
49,-86.7827988,36.1646996,0,0,0,0,1,0,0
50,-86.6921997,36.0873985,0,0,0,1,0,0,0
51,-86.6957016,36.0867996,0,0,0,1,0,0,0
52,-86.7049026,36.0844002,0,0,0,1,0,0,0
53,-86.7172012,36.0886993,0,0,0,1,0,0,0
54,-86.7207031,36.0891991,0,0,0,1,0,0,0
55,-86.7238998,36.0872993,0,0,0,1,0,0,0
56,-86.7273026,36.0853004,0,0,0,1,0,0,0
57,-86.7273026,36.0764008,0,0,0,1,0,0,0
58,-86.7376022,36.0671997,0,0,0,1,0,0,0
59,-86.7410965,36.0601006,0,0,0,1,0,0,0
60,-86.8005981,36.138401,0,0,0,0,1,0,0
61,-86.8006973,36.1375999,0,0,0,0,1,0,0
62,-86.800499,36.1389008,0,0,0,0,1,0,0
63,-86.7582016,36.2014008,0,0,0,1,0,0,0
64,-86.7813034,36.1660995,0,0,0,1,0,0,0
65,-86.7813034,36.1660995,0,0,0,1,0,0,0
66,-86.7813034,36.1660995,0,0,0,0,1,0,0
67,-86.7795029,36.1671982,0,0,0,0,1,0,0
68,-86.8682022,36.3212013,0,0,0,0,1,0,0
69,-86.8873978,36.4818001,0,0,0,0,1,0,0
70,-86.8852997,36.5070992,0,0,0,0,1,0,0
71,-86.7795029,36.1671982,0,0,0,0,1,0,0
72,-86.5945969,36.3272018,0,0,0,0,1,0,0
73,-86.5017014,36.3745995,0,0,0,0,1,0,0
74,-86.625,36.1521988,0,0,0,0,1,0,0
75,-86.7813034,36.1660995,0,0,0,1,0,0,0
76,-86.7813034,36.1660995,0,0,0,1,0,0,0
